Component,Message Purpose,Service ID,Function Id,Opcode,,,
cataloguefi_ , FileSystemListenerRelUpReg ,160,24,4,,,
cataloguefi_ , FileSystemListenerStatus ,160,24,6,,,
cataloguefi_ , FileSystemListenerUpReg ,160,24,3,,,
cataloguefi_ , FireActionMethodResult ,160,23,7,,,
cataloguefi_ , FireActionMethodStart ,160,23,2,,,
cataloguefi_ , GetCatalogueFileMethodResult ,160,21,7,,,
cataloguefi_ , GetCatalogueFileMethodStart ,160,21,2,,,
cataloguefi_ , GetFileContentMethodResult ,160,22,7,,,
cataloguefi_ , GetFileContentMethodStart ,160,22,2,,,
cmb_acrfi_ , ChannelRequestGet ,520,513,1,,,
cmb_acrfi_ , ChannelRequestRelUpReg ,520,513,4,,,
cmb_acrfi_ , ChannelRequestStatus ,520,513,6,,,
cmb_acrfi_ , ChannelRequestUpReg ,520,513,3,,,
cmb_acrfi_ , InstancesPerCategoryGet ,520,514,1,,,
cmb_acrfi_ , InstancesPerCategoryRelUpReg ,520,514,4,,,
cmb_acrfi_ , InstancesPerCategoryStatus ,520,514,6,,,
cmb_acrfi_ , InstancesPerCategoryUpReg ,520,514,3,,,
cmb_acrfi_ , VoiceAdviceMethodResult ,520,257,7,,,
cmb_acrfi_ , VoiceAdviceMethodStart ,520,257,2,,,
cmb_sensorfi_ , AbsDataGet ,11,48,1,,,
cmb_sensorfi_ , AbsDataRelUpReg ,11,48,4,,,
cmb_sensorfi_ , AbsDataStatus ,11,48,6,,,
cmb_sensorfi_ , AbsDataUpReg ,11,48,3,,,
cmb_sensorfi_ , Acc3dData_UpdateGet ,11,67,1,,,
cmb_sensorfi_ , Acc3dData_UpdateRelUpReg ,11,67,4,,,
cmb_sensorfi_ , Acc3dData_UpdateStatus ,11,67,6,,,
cmb_sensorfi_ , Acc3dData_UpdateUpReg ,11,67,3,,,
cmb_sensorfi_ , Acc3dDiagDataGet ,11,61,1,,,
cmb_sensorfi_ , Acc3dDiagDataStatus ,11,61,6,,,
cmb_sensorfi_ , Acc3dGetHwInfoMethodResult ,11,66,7,,,
cmb_sensorfi_ , Acc3dGetHwInfoMethodStart ,11,66,2,,,
cmb_sensorfi_ , AntennaCurrentGet ,11,27,1,,,
cmb_sensorfi_ , AntennaCurrentRelUpReg ,11,27,4,,,
cmb_sensorfi_ , AntennaCurrentStatus ,11,27,6,,,
cmb_sensorfi_ , AntennaCurrentUpReg ,11,27,3,,,
cmb_sensorfi_ , CalcOdometerCalibrationMethodResult ,11,13,7,,,
cmb_sensorfi_ , CalcOdometerCalibrationMethodStart ,11,13,2,,,
cmb_sensorfi_ , DeactivateGpsEncoderMethodResult ,11,57,7,,,
cmb_sensorfi_ , DeactivateGpsEncoderMethodStart ,11,57,2,,,
cmb_sensorfi_ , DistanceCalibrationValueGet ,11,14,1,,,
cmb_sensorfi_ , DistanceCalibrationValueRelUpReg ,11,14,4,,,
cmb_sensorfi_ , DistanceCalibrationValueSet ,11,14,0,,,
cmb_sensorfi_ , DistanceCalibrationValueStatus ,11,14,6,,,
cmb_sensorfi_ , DistanceCalibrationValueUpReg ,11,14,3,,,
cmb_sensorfi_ , DriveDirectionGet ,11,55,1,,,
cmb_sensorfi_ , DriveDirectionRelUpReg ,11,55,4,,,
cmb_sensorfi_ , DriveDirectionStatus ,11,55,6,,,
cmb_sensorfi_ , DriveDirectionUpReg ,11,55,3,,,
cmb_sensorfi_ , FactorySettingsMethodResult ,11,54,7,,,
cmb_sensorfi_ , FactorySettingsMethodStart ,11,54,2,,,
cmb_sensorfi_ , GalaSpeedGet ,11,56,1,,,
cmb_sensorfi_ , GalaSpeedRelUpReg ,11,56,4,,,
cmb_sensorfi_ , GalaSpeedStatus ,11,56,6,,,
cmb_sensorfi_ , GalaSpeedUpReg ,11,56,3,,,
cmb_sensorfi_ , GnssSatSystemGet ,11,69,1,,,
cmb_sensorfi_ , GnssSatSystemSet ,11,69,0,,,
cmb_sensorfi_ , GnssSatSystemStatus ,11,69,6,,,
cmb_sensorfi_ , GnssWnEpochGet ,11,70,1,,,
cmb_sensorfi_ , GnssWnEpochSet ,11,70,0,,,
cmb_sensorfi_ , GnssWnEpochStatus ,11,70,6,,,
cmb_sensorfi_ , GpsCommunicationProtocolGet ,11,22,1,,,
cmb_sensorfi_ , GpsCommunicationProtocolSet ,11,22,0,,,
cmb_sensorfi_ , GpsCommunicationProtocolStatus ,11,22,6,,,
cmb_sensorfi_ , GpsData_ValidContentGet ,11,6,1,,,
cmb_sensorfi_ , GpsData_ValidContentStatus ,11,6,6,,,
cmb_sensorfi_ , GpsDataGet ,11,5,1,,,
cmb_sensorfi_ , GpsDataRelUpReg ,11,5,4,,,
cmb_sensorfi_ , GpsDataStatus ,11,5,6,,,
cmb_sensorfi_ , GpsDataUpReg ,11,5,3,,,
cmb_sensorfi_ , GpsDiagPositionGet ,11,53,1,,,
cmb_sensorfi_ , GpsDiagPositionSet ,11,53,0,,,
cmb_sensorfi_ , GpsDiagPositionStatus ,11,53,6,,,
cmb_sensorfi_ , GpsExtDataGet ,11,38,1,,,
cmb_sensorfi_ , GpsExtDataRelUpReg ,11,38,4,,,
cmb_sensorfi_ , GpsExtDataStatus ,11,38,6,,,
cmb_sensorfi_ , GpsExtDataUpReg ,11,38,3,,,
cmb_sensorfi_ , GpsExtTestmodeMethodResult ,11,52,7,,,
cmb_sensorfi_ , GpsExtTestmodeMethodStart ,11,52,2,,,
cmb_sensorfi_ , GpsFilterModeGet ,11,24,1,,,
cmb_sensorfi_ , GpsFilterModeSet ,11,24,0,,,
cmb_sensorfi_ , GpsFilterModeStatus ,11,24,6,,,
cmb_sensorfi_ , GpsFrontEndGet ,11,41,1,,,
cmb_sensorfi_ , GpsFrontEndRelUpReg ,11,41,4,,,
cmb_sensorfi_ , GpsFrontEndStatus ,11,41,6,,,
cmb_sensorfi_ , GpsFrontEndTestMethodResult ,11,43,7,,,
cmb_sensorfi_ , GpsFrontEndTestMethodStart ,11,43,2,,,
cmb_sensorfi_ , GpsFrontEndUpReg ,11,41,3,,,
cmb_sensorfi_ , GpsNoiselevelTimePosValidityGet ,11,59,1,,,
cmb_sensorfi_ , GpsNoiselevelTimePosValidityRelUpReg ,11,59,4,,,
cmb_sensorfi_ , GpsNoiselevelTimePosValidityStatus ,11,59,6,,,
cmb_sensorfi_ , GpsNoiselevelTimePosValidityUpReg ,11,59,3,,,
cmb_sensorfi_ , GpsOscillatorGet ,11,42,1,,,
cmb_sensorfi_ , GpsOscillatorRelUpReg ,11,42,4,,,
cmb_sensorfi_ , GpsOscillatorStatus ,11,42,6,,,
cmb_sensorfi_ , GpsOscillatorUpReg ,11,42,3,,,
cmb_sensorfi_ , GpsSetExtHintsMethodResult ,11,40,7,,,
cmb_sensorfi_ , GpsSetExtHintsMethodStart ,11,40,2,,,
cmb_sensorfi_ , GpsSetHintsMethodResult ,11,39,7,,,
cmb_sensorfi_ , GpsSetHintsMethodStart ,11,39,2,,,
cmb_sensorfi_ , GpsTemperatureGet ,11,23,1,,,
cmb_sensorfi_ , GpsTemperatureRelUpReg ,11,23,4,,,
cmb_sensorfi_ , GpsTemperatureStatus ,11,23,6,,,
